Date,Holiday name
"Tuesday, January 1, 2019","Solemnity of Mary, Mother of God"
"Sunday, January 6, 2019",Epiphany
"Tuesday, March 5, 2019",Shrove Tuesday (Mardi Gras)
"Wednesday, March 6, 2019",Ash Wednesday
"Sunday, April 14, 2019",Palm Sunday
"Thursday, April 18, 2019",Maundy Thursday
"Friday, April 19, 2019",Good Friday
"Sunday, April 21, 2019",Easter
"Monday, April 22, 2019",Easter Monday
"Thursday, May 30, 2019",Ascension of Jesus
"Sunday, June 9, 2019",Pentecost
"Thursday, June 20, 2019",Corpus Christi
"Thursday, August 15, 2019",Assumption of the Blessed Virgin Mary
"Friday, November 1, 2019",All Saints' Day
"Monday, December 9, 2019",The Immaculate Conception of The Blessed Virgin Mary
"Wednesday, December 25, 2019",Christmas
